"fight_id","winner","title_bout","weight_class","no_of_rounds","r_fighter","r_fighter_id","r_fighter_stance","r_fighter_age","b_fighter","b_fighter_id","b_fighter_stance","b_fighter_age","date","referee","referee_id","b_fighter_height","r_fighter_height","b_fighter_reach","r_fighter_reach","b_fighter_weight","r_fighter_weight","records_id","fight_id-2","b_current_lose_streak","b_current_win_streak","b_draw","b_longest_win_streak","b_losses","b_total_title_bouts","b_win_by_decision_majority","b_win_by_decision_split","b_win_by_decision_unanimous","b_win_by_ko_tko","b_win_by_submission","b_win_by_tko_doctor_stoppage","b_wins","b_total_rounds_fought","b_total_time_fought_seconds","r_current_lose_streak","r_current_win_streak","r_draw","r_longest_win_streak","r_losses","r_total_rounds_fought","r_total_time_fought_seconds","r_total_title_bouts","r_win_by_decision_majority","r_win_by_decision_split","r_win_by_decision_unanimous","r_win_by_ko_tko","r_win_by_submission","r_win_by_tko_doctor_stoppage","r_wins"
"FT2767","Blue","FALSE","Welterweight",3,"Chris Indich",1220,NULL,27,"Vik Grujic",1219,"Orthodox",37,"2014-06-28","Peter Hickmott","r113",180.34,177.8,185.42,185.42,170,170,"record2767","FT2767",1,0,0,0,1,0,0,0,0,0,0,0,0,3,900,1,0,0,0,1,3,900,0,0,0,0,0,0,0,0
"FT2759","Red ","FALSE","Flyweight",3,"Ray Borg",1227,"Orthodox",20,"Shane Howell",1265,"Orthodox",30,"2014-06-28","Jacob Montalvo","r79",172.72,162.56,175.26,160.02,125,135,"record2759","FT2759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,1,3,900,0,0,0,0,0,0,0,0
"FT2755","Red ","FALSE","Lightweight",3,"Joe Ellenberger",1259,"Orthodox",29,"James Moontasri",1263,"Switch",26,"2014-06-28","Frank Collazo","r112",177.8,175.26,180.34,182.88,170,155,"record2755","FT2755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2760","Red ","FALSE","Heavyweight",3,"Aleksei Oleinik",1260,"Orthodox",37,"Anthony Hamilton",1266,"Orthodox",34,"2014-06-28","Herb Dean","r18",195.58,187.96,193.04,203.2,260,240,"record2760","FT2760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2765","Red ","FALSE","Lightweight",3,"Jake Matthews",1261,"Orthodox",19,"Dashon Johnson",1267,"Orthodox",26,"2014-06-28","Peter Hickmott","r113",170.18,180.34,177.8,185.42,145,170,"record2765","FT2765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2769","Red ","FALSE","Featherweight",3,"Dan Hooker",1262,"Switch",24,"Ian Entwistle",1270,"Orthodox",27,"2014-06-28","Steve Perceval","r60",165.1,182.88,162.56,190.5,135,155,"record2769","FT2769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2778","Blue","FALSE","Bantamweight",3,"George Roop",613,"Orthodox",32,"Rob Font",1271,"Orthodox",27,"2014-07-05","Chris Tognoni","r70",172.72,185.42,180.34,182.88,135,135,"record2778","FT2778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,1,0,2,6,27,644.1818182,0,0,1,2,2,0,0,5
"FT2777","Blue","FALSE","Middleweight",3,"Chris Camozzi",722,"Orthodox",27,"Bruno Santos",1150,"Orthodox",26,"2014-07-05","Mario Yamasaki","r7",175.26,187.96,175.26,193.04,185,185,"record2777","FT2777",1,0,0,0,1,0,0,0,0,0,0,0,0,3,900,2,0,0,4,4,26,709.1,0,0,2,2,0,1,1,6
"FT2776","Red ","FALSE","Welterweight",3,"Kenny Robertson",788,"Orthodox",30,"Ildemar Alcantara",1019,"Orthodox",31,"2014-07-05","Chris Tognoni","r70",187.96,177.8,198.12,187.96,185,170,"record2776","FT2776",0,1,0,2,1,0,0,1,1,0,1,0,3,11,789.75,0,1,0,1,3,10,482.2,0,0,0,0,0,2,0,2
"FT2771","Red ","TRUE ","Middleweight",5,"Chris Weidman",797,"Orthodox",30,"Lyoto Machida",462,"Southpaw",36,"2014-07-05","Herb Dean","r18",185.42,187.96,187.96,198.12,185,185,"record2771","FT2771",0,2,0,8,4,4,0,1,6,5,1,0,13,44,730.8235294,0,7,0,7,0,14,481.7142857,2,0,0,2,3,2,0,7
