fight_id,winner,title_bout,weight_class,no_of_rounds,r_fighter,r_fighter_id,r_fighter_stance,b_fighter,b_fighter_id,b_fighter_stance,date,referee,referee_id,b_fighter_height,r_fighter_height,b_fighter_reach,r_fighter_reach,b_fighter_weight,r_fighter_weight
FT94,Red ,FALSE,Open Weight,2,Scott Ferrozzo,66,Orthodox,David Abbott,50,Switch,9/20/1996,John McCarthy,r2,182.88,180.34,NULL,NULL,265,323
FT95,Red ,FALSE,Open Weight,2,Mark Coleman,76,Orthodox,Brian Johnston,77,Orthodox,9/20/1996,John McCarthy,r2,190.5,185.42,NULL,190.5,230,205
FT99,Red ,FALSE,Open Weight,1,Mark Coleman,76,Orthodox,Julian Sanchez,85,Orthodox,9/20/1996,John McCarthy,r2,190.5,185.42,NULL,190.5,300,205
FT98,Red ,FALSE,Open Weight,1,Brian Johnston,77,Orthodox,Reza Nasri,84,Orthodox,9/20/1996,John McCarthy,r2,180.34,190.5,NULL,NULL,205,230
FT103,Red ,FALSE,Open Weight,2,Ken Shamrock,4,Orthodox,Brian Johnston,77,Orthodox,12/7/1996,John McCarthy,r2,190.5,185.42,NULL,182.88,230,205
FT104,Red ,FALSE,Open Weight,2,Kimo Leopoldo,29,Orthodox,Paul Varelans,51,Orthodox,12/7/1996,John McCarthy,r2,203.2,190.5,NULL,NULL,300,235
FT101,Red ,FALSE,Open Weight,2,David Abbott,50,Switch,Steve Nelmark,71,Orthodox,12/7/1996,John McCarthy,r2,182.88,182.88,NULL,NULL,240,265
FT105,Red ,FALSE,Open Weight,2,David Abbott,50,Switch,Cal Worsham,53,Orthodox,12/7/1996,John McCarthy,r2,180.34,182.88,NULL,NULL,230,265
FT100,Red ,TRUE ,Catch Weight,3,Don Frye,61,Orthodox,David Abbott,50,Switch,12/7/1996,John McCarthy,r2,182.88,185.42,NULL,NULL,265,219
FT102,Red ,FALSE,Open Weight,2,Don Frye,61,Orthodox,Mark Hall,56,Orthodox,12/7/1996,John McCarthy,r2,182.88,185.42,NULL,NULL,190,219
FT106,Red ,FALSE,Open Weight,2,Don Frye,61,Orthodox,Gary Goodridge,62,Orthodox,12/7/1996,John McCarthy,r2,190.5,185.42,NULL,NULL,249,219
FT109,Red ,TRUE ,Lightweight,3,Jerry Bohlander,63,Orthodox,Nick Sanzo,88,NULL,2/7/1997,John McCarthy,r2,175.26,180.34,NULL,NULL,190,199
FT113,Red ,FALSE,Lightweight,2,Jerry Bohlander,63,Orthodox,Rainy Martinez,92,Orthodox,2/7/1997,John McCarthy,r2,182.88,180.34,NULL,NULL,199,199
FT111,Red ,FALSE,Heavyweight,2,Scott Ferrozzo,66,Orthodox,Jim Mullen,90,Southpaw,2/7/1997,John McCarthy,r2,185.42,180.34,NULL,NULL,215,323
FT107,Red ,TRUE ,Heavyweight,3,Mark Coleman,76,Orthodox,Dan Severn,33,Southpaw,2/7/1997,John McCarthy,r2,187.96,185.42,NULL,190.5,250,205
FT108,Red ,TRUE ,Heavyweight,3,Vitor Belfort,86,Southpaw,Scott Ferrozzo,66,Orthodox,2/7/1997,John McCarthy,r2,180.34,182.88,NULL,187.96,323,185
