"fight_id","winner","title_bout","weight_class","no_of_rounds","r_fighter","r_fighter_id","r_fighter_stance","b_fighter","b_fighter_id","b_fighter_stance","date","referee","referee_id","b_fighter_height","r_fighter_height","b_fighter_reach","r_fighter_reach","b_fighter_weight","r_fighter_weight","records_id","fight_id-2","b_current_lose_streak","b_current_win_streak","b_draw","b_longest_win_streak","b_losses","b_total_title_bouts","b_win_by_decision_majority","b_win_by_decision_split","b_win_by_decision_unanimous","b_win_by_ko_tko","b_win_by_submission","b_win_by_tko_doctor_stoppage","b_wins","b_total_rounds_fought","b_total_time_fought_seconds","r_current_lose_streak","r_current_win_streak","r_draw","r_longest_win_streak","r_losses","r_total_rounds_fought","r_total_time_fought_seconds","r_total_title_bouts","r_win_by_decision_majority","r_win_by_decision_split","r_win_by_decision_unanimous","r_win_by_ko_tko","r_win_by_submission","r_win_by_tko_doctor_stoppage","r_wins"
"FT241","Red ","FALSE","Middleweight",2,"Mark Hughes",211,"Southpaw","Alex Stiebling",215,"Southpaw","2000-11-17","Mario Yamasaki","r7",187.96,175.26,NULL,NULL,205,205,"record241","FT241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT242","Red ","FALSE","Welterweight",2,"Ben Earwood",212,"Orthodox","Chris Lytle",216,"Orthodox","2000-11-17","Mario Yamasaki","r7",180.34,172.72,172.72,NULL,170,170,"record242","FT242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT243","Red ","TRUE ","Light Heavyweight",5,"Tito Ortiz",97,"Orthodox","Yuki Kondo",203,"Southpaw","2000-12-16","John McCarthy","r2",180.34,190.5,NULL,187.96,183,205,"record243","FT243",0,1,0,1,0,0,0,0,0,1,0,0,1,3,748,0,1,0,2,2,14,716.6666667,3,0,0,1,2,0,1,4
"FT244","Red ","TRUE ","Welterweight",5,"Pat Miletich",124,"Orthodox","Kenichi Yamamoto",176,"Orthodox","2000-12-16","John McCarthy","r2",182.88,177.8,NULL,NULL,170,170,"record244","FT244",0,2,0,2,0,1,0,0,1,0,1,0,2,5,727.5,0,6,0,6,0,13,793.1666667,5,0,2,1,0,2,1,6
"FT249","Red ","FALSE","Middleweight",3,"Chuck Liddell",134,"Orthodox","Jeff Monson",204,"Orthodox","2000-12-16","Mario Yamasaki","r7",175.26,187.96,187.96,193.04,247,205,"record249","FT249",0,1,0,1,0,0,0,0,1,0,0,0,1,2,600,0,1,0,1,1,3,557.6666667,0,0,0,1,0,0,1,2
"FT247","Red ","FALSE","Middleweight",3,"Evan Tanner",146,"Orthodox","Lance Gibson",182,"Orthodox","2000-12-16","Mario Yamasaki","r7",175.26,182.88,NULL,187.96,185,185,"record247","FT247",0,1,0,1,0,0,0,0,0,1,0,0,1,3,815,0,2,0,2,0,2,327.5,0,0,0,0,1,1,0,2
"FT246","Red ","FALSE","Welterweight",3,"Fabiano Iha",162,"Orthodox","Daiju Takase",167,"Southpaw","2000-12-16","John McCarthy","r2",182.88,172.72,NULL,NULL,170,155,"record246","FT246",2,0,0,0,2,0,0,0,0,0,0,0,0,4,590.5,0,1,0,1,2,5,350.3333333,0,0,0,0,0,1,0,1
"FT245","Red ","FALSE","Middleweight",3,"Matt Lindland",217,"Southpaw","Yoji Anjo",121,"Orthodox","2000-12-16","John McCarthy","r2",180.34,182.88,NULL,187.96,205,185,"record245","FT245",2,0,0,0,2,0,0,0,0,0,0,0,0,4,615.5,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT248","Red ","FALSE","Welterweight",3,"Dennis Hallman",218,"Orthodox","Matt Hughes",170,"Switch","2000-12-16","Mario Yamasaki","r7",175.26,175.26,185.42,182.88,170,155,"record248","FT248",0,2,0,2,0,0,0,0,1,0,0,1,2,4,587,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT250","Red ","TRUE ","Light Heavyweight",5,"Tito Ortiz",97,"Orthodox","Evan Tanner",146,"Orthodox","2001-02-23","John McCarthy","r2",182.88,190.5,187.96,187.96,185,205,"record250","FT250",0,3,0,3,0,0,0,0,0,2,1,0,3,3,317.6666667,0,2,0,2,2,15,630.2857143,4,0,0,1,2,1,1,5
